name,price,screen_size,display_resolution,cpu,proccessor_cores,set_of_cpu,cpu_frequency,gpu,ram,memory,operating_system,weight,brand
ASUS VivoBook Pro 16X M7600QE-L2114 90NB0V71-M004B0,157921,16.0,3840x2400 ,AMD Ryzen 9 ,8.0,5900HX ,3.3,NVIDIA GeForce RTX 3050 Ti ,16.0,SSD ,DOS / без ОС ,1900.0,ASUS 
ASUS Vivobook S 14 OLED K3402ZA-KM119 90NB0WE1-M00540,89077,14.0,2880x1800 ,Intel Core i5 ,12.0,12500H ,2.5,Intel Iris Xe Graphics ,8.0,SSD ,DOS / без ОС ,1800.0,ASUS 
Ультрабук Acer Swift 3 SF314-512-305M NX.K0EER.007,66300,14.0,1920x1080 FHD ,Intel Core i3 ,10.0,1220P ,1.1,Intel Iris Xe Graphics ,8.0,SSD ,Windows 11 Home ,1250.0,Acer 
MSI Pulse GL66 12UCK-696XRU 9S7-158414-696,75000,15.6,1920x1080 FHD ,Intel Core i5 ,12.0,12500H ,2.8,NVIDIA GeForce RTX 3050 ,8.0,SSD ,DOS / без ОС ,2250.0,MSI 
ASUS ExpertBook B1 B1500CEAE-BQ2123T 90NX0441-M25200,42000,15.6,1920x1080 FHD ,Intel Core i3 ,2.0,1115G4 ,3.0,Intel UHD Graphics ,4.0,SSD ,Windows 10 Home 64-bit ,1700.0,ASUS 
HIPER NOTEBOOK H1579O5165WM,61300,15.6,1920x1080 FHD ,Intel Core i5 ,4.0,1135G7 ,2.4,Intel Iris Xe Graphics ,16.0,SSD ,Windows 10 Pro 64-bit ,1780.0,HIPER 
MSI CreatorPro X17 A12UKS-206RU 9S7-17Q121-206,315000,17.3,3840x2160 4k UHD ,Intel Core i9 ,16.0,12900HX ,2.3,NVIDIA RTX A3000 ,64.0,SSD ,Windows 11 Pro ,3300.0,MSI 
Lenovo Lenovo Yoga 6 13ALC7 82UD000BRU,117002,13.3,1920х1200 ,AMD Ryzen 7 ,8.0,5700U ,1.8,AMD Radeon Graphics ,16.0,SSD ,Windows 11 Home ,1370.0,Lenovo 
Razer Blade 15 RZ09-0421PEF3-R3E1,353923,15.6,3840x2160 4k UHD ,Intel Core i9 ,14.0,12900Н ,1.8,NVIDIA GeForce RTX 3080 Ti ,32.0,SSD ,Windows 11 Home ,2020.0,Razer 
Dell Latitude 5330 P138G 5330-7653,124500,13.3,1920x1080 FHD ,Intel Core i7 ,10.0,1265U ,1.7,Intel Iris Xe Graphics ,16.0,SSD ,Linux ,1200.0,Dell 
ASUS X515JF-BR240 90NB0SW1-M04370,41730,15.6,1366x768 HD ,Intel Pentium ,2.0,6805 ,1.1,NVIDIA GeForce MX130 ,4.0,SSD ,no OS (без операционной системы) ,1705.2024914285716,ASUS 
Dell Latitude 7430 L-7430-i5-16-512-W,147285,14.0,1920x1080 FHD ,Intel Core i5 ,10.0,1235U ,1.3,Intel Iris Xe Graphics ,16.0,SSD ,Windows 10 Pro 64-bit ,1270.0,Dell 
Lenovo  Lenovo IdeaPad Flex 5 14ALC7 82R9006ARU,91528,14.0,2240x1400 ,AMD Ryzen 5 ,6.0,5500U ,2.1,AMD Radeon Graphics ,16.0,SSD ,Windows 11 Home ,1550.0,Lenovo 
